dataset,threads,iterations,best_cost,duration_ms
rbg358,1,10000,2806.0,36
rbg358,1,25000,2380.0,69
rbg358,1,50000,2018.0,132
rbg358,1,100000,1709.0,258
ftv38,1,10000,2082.0,6
ftv38,1,25000,2023.0,16
ftv38,1,50000,1816.0,30
ftv38,1,100000,2032.0,59
ft70,1,10000,47190.0,9
ft70,1,25000,44775.0,20
ft70,1,50000,45410.0,43
ft70,1,100000,45189.0,83
br17,1,10000,44.0,4
br17,1,25000,39.0,12
br17,1,50000,56.0,24
br17,1,100000,50.0,46
rbg358,2,10000,2552.0,31
rbg358,2,25000,2186.0,71
rbg358,2,50000,1791.0,135
rbg358,2,100000,1715.0,276
ftv38,2,10000,2291.0,7
ftv38,2,25000,1867.0,17
ftv38,2,50000,2057.0,33
ftv38,2,100000,2169.0,68
ft70,2,10000,45086.0,8
ft70,2,25000,45885.0,22
ft70,2,50000,47139.0,42
ft70,2,100000,46258.0,86
br17,2,10000,39.0,5
br17,2,25000,39.0,13
br17,2,50000,42.0,25
br17,2,100000,39.0,49
rbg358,4,10000,2539.0,33
rbg358,4,25000,2073.0,146
rbg358,4,50000,1829.0,152
rbg358,4,100000,1622.0,301
ftv38,4,10000,2032.0,7
ftv38,4,25000,2035.0,19
ftv38,4,50000,2036.0,38
ftv38,4,100000,1936.0,72
ft70,4,10000,45094.0,11
ft70,4,25000,45222.0,24
ft70,4,50000,44451.0,87
ft70,4,100000,46795.0,97
br17,4,10000,39.0,6
br17,4,25000,39.0,13
br17,4,50000,39.0,28
br17,4,100000,39.0,53
rbg358,8,10000,2506.0,87
rbg358,8,25000,1928.0,192
rbg358,8,50000,1737.0,386
rbg358,8,100000,1551.0,740
ftv38,8,10000,1910.0,17
ftv38,8,25000,1924.0,43
ftv38,8,50000,1732.0,84
ftv38,8,100000,2057.0,199
ft70,8,10000,45235.0,24
ft70,8,25000,45636.0,92
ft70,8,50000,43752.0,116
ft70,8,100000,43364.0,235
br17,8,10000,39.0,17
br17,8,25000,39.0,34
br17,8,50000,39.0,121
br17,8,100000,39.0,123
